OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
983,13059,68,09970,0652,099700652,SYLVAN WAY SW BETWEEN SW MORGAN E ST AND HIGH POINT DR SW,SYLVAN WAY SW,SYLVAN WAY SW,SW MORGAN E ST,HIGH POINT DR SW,1,Principal Arterial, ,INSVC,6500,25,S,N, , ,503,36,PCC,2017/11/05 00:00:00+00,,,SYLVAN WAY SW AND SW MORGAN E ST,S,34012,HIGH POINT DR SW AND SYLVAN WAY SW,N,34016,1260670.95056772,202037.58118694,Y,N,N,Urban Center Connector,,92,0,3,MINOR TRANSIT ROUTE,DISTRICT1, ,N,0,ART,N,502.71039473358
984,13085,68,10015,0141,100150141,TAYLOR AVE N BETWEEN TAYLOR UPPER AVE N AND GALER ST,TAYLOR AVE N,TAYLOR AVE N,TAYLOR UPPER AVE N,GALER ST,2,Minor Arterial, ,INSVC,1400,25,N,N, , ,237,40,AC/PCC,2017/10/04 00:00:00+00,,,TAYLOR AVE N AND TAYLOR UPPER AVE N,N,28891,GALER ST AND TAYLOR AVE N,S,28814,1267463.63793468,234191.35216387,Y,N,N,Urban Center Connector,,76,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,6,ART,N,237.028472129754
987,13113,68,10040,0170,100400170,TERRY AVE BETWEEN OLIVE WAY AND HOWELL ST,TERRY AVE,TERRY AVE,OLIVE WAY,HOWELL ST,0,Not Designated, ,INSVC,1700,20,NW,Y,NW,F,52,0,AC/PCC,,,,OLIVE WAY AND TERRY AVE,NW,29866,HOWELL ST AND TERRY AVE,SE,29867,1270791.96459408,228022.63362955,N,N,N,Downtown Neighborhood Access,,0,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,0,NON-ART,N,217.708647655269
988,13116,68,10040,0200,100400200,TERRY AVE BETWEEN VIRGINIA ST AND LENORA ST,TERRY AVE,TERRY AVE,VIRGINIA ST,LENORA ST,0,Not Designated, ,INSVC,2000,20,NW,Y,NW,F,426,24,AC,2014/08/14 00:00:00+00,,,TERRY AVE AND VIRGINIA ST,NW,29523,LENORA ST AND TERRY AVE,SE,29507,1269949.53438522,228836.89270239,N,N,N,Downtown Neighborhood Access,,95,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,5,NON-ART,N,425.989100417723
989,13126,68,10050,0430,100500430,THACKERAY PL NE BETWEEN NE 43RD ST AND NE 44TH ST,THACKERAY PL NE,THACKERAY PL NE,NE 43RD ST,NE 44TH ST,3,Collector Arterial, ,INSVC,4300,25,N,Y,S,T,460,25,AC/PCC,2017/10/27 00:00:00+00,,,THACKERAY PL NE AND NE 43RD ST,N,27201,THACKERAY PL NE AND NE 44TH ST,S,27196,1272546.56312388,244165.30270208,Y,N,N,Neighborhood Corridor,,82,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,7,ART,N,460.111883834689
992,13149,68,10060,0160,100600160,THORNDYKE AVE W BETWEEN W HAYES ST AND W BLAINE ST,THORNDYKE AVE W,THORNDYKE AVE W,W HAYES ST,W BLAINE ST,2,Minor Arterial, ,INSVC,1600,25,NE,N, , ,389,37,AC,2017/10/30 00:00:00+00,PCC,2013/07/25 00:00:00+00,THORNDYKE AVE W AND W HAYES ST,NE,27744,THORNDYKE AVE W AND W BLAINE ST,SW,27728,1256346.48214729,235377.47299708,Y,N,N,Urban Center Connector,,60,54,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,0,ART,N,408.017546382435
995,13180,68,10100,0020,101000020,UNION ST BETWEEN 2ND AVE AND 3RD AVE,UNION ST,UNION ST,2ND AVE,3RD AVE,1,Principal Arterial, ,INSVC,200,25,NE,Y,SW,T,322,30,AC/PCC,2017/11/03 00:00:00+00,,,2ND AVE AND UNION ST,NE,29600,3RD AVE AND UNION ST,SW,29591,1269414.33540867,225596.81372307,N,N,N,Downtown,,20,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,6,ART,N,322.066992838375
996,13190,68,10110,0350,101100350,UNIVERSITY BR BETWEEN POINT A AND POINT B,UNIVERSITY BR,UNIVERSITY BR,POINT A,POINT B,1,Principal Arterial, ,INSVC,0,25,NE,N, , ,200,0,,,,,UNIVERSITY BR AND POINT A,NE,27166,UNIVERSITY BR AND POINT B,SW,27148,1273930.14571731,241633.37796348,Y,N,Y,Urban Center Connector,,0,0,2,MAJOR TRANSIT ROUTE,DISTRICT4,DISTRICT3,N,0,ART,N,200.304233752264
997,13204,68,10115,0050,101150050,UNIVERSITY ST BETWEEN 5TH AVE AND 6TH AVE,UNIVERSITY ST,UNIVERSITY ST,5TH AVE,6TH AVE,1,Principal Arterial, ,INSVC,500,25,NE,Y,NE,F,324,88,PCC,2017/11/03 00:00:00+00,AC/PCC,2013/07/25 00:00:00+00,5TH AVE AND UNIVERSITY ST,NE,29930,6TH AVE AND UNIVERSITY ST,SW,29914,1270463.26174575,225723.0790032,N,N,N,Downtown,,55,50,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,5,ART,N,323.982215600554
999,13221,68,10120,0430,101200430,UNIVERSITY WAY NE BETWEEN NE 43RD ST AND NE 45TH ST,UNIVERSITY WAY NE,UNIVERSITY WAY NE,NE 43RD ST,NE 45TH ST,3,Collector Arterial, ,INSVC,4300,25,N,N, , ,538,38,PCC,2017/10/03 00:00:00+00,,,UNIVERSITY WAY NE AND NE 43RD ST,N,27077,UNIVERSITY WAY NE AND NE 45TH ST,S,27062,1275769.96549518,244447.88446237,N,N,N,Urban Village Neighborhood,,97,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,3,ART,N,537.838822974422
1000,13226,68,10120,0550,101200550,UNIVERSITY WAY NE BETWEEN NE 55TH ST AND NE 56TH ST,UNIVERSITY WAY NE,UNIVERSITY WAY NE,NE 55TH ST,NE 56TH ST,3,Collector Arterial, ,INSVC,5500,25,N,N, , ,326,54,AC/PCC,2017/10/03 00:00:00+00,,,UNIVERSITY WAY NE AND NE 55TH ST,N,25760,UNIVERSITY WAY NE AND NE 56TH ST,S,25749,1275860.89375128,247533.51108953,N,N,N,Urban Village Neighborhood,,59,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,2,ART,N,326.393430967446
1004,13263,68,10160,0070,101600070,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,VALLEY ST,VALLEY ST,AURORA AVE N,DEXTER AVE N,2,Minor Arterial, ,INSVC,700,25,E,N,W, ,312,40,PCC,2013/07/25 00:00:00+00,,,AURORA AVE N AND VALLEY ST,E,28737,DEXTER AVE N AND VALLEY ST,W,28736,1268178.14135942,232093.33283372,N,N,N,Urban Village Neighborhood,,85,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,8,ART,N,312.021611376556
1006,13291,68,10220,0900,102200900,VIEW AVE NW BETWEEN GOLDEN GARDENS DR NW AND LOYAL AVE NW,VIEW AVE NW,VIEW AVE NW,GOLDEN GARDENS DR NW,LOYAL AVE NW,0,Not Designated, ,INSVC,9000,20,N,N, , ,508,22,AC,2014/05/21 00:00:00+00,,,GOLDEN GARDENS DR NW AND VIEW AVE NW,N,36877,LOYAL AVE NW AND VIEW AVE NW,S,36874,1254357.41411325,257349.01388358,N,N,N,Neighborhood Yield Street,,50,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,5,NON-ART,N,507.893145663877
1009,13313,68,10250,0040,102500040,VIRGINIA ST BETWEEN 4TH AVE AND 5TH AVE,VIRGINIA ST,VIRGINIA ST,4TH AVE,5TH AVE,2,Minor Arterial, ,INSVC,400,25,NE,Y,NE,F,322,44,AC/PCC,2017/11/03 00:00:00+00,PCC,2017/11/04 00:00:00+00,4TH AVE AND VIRGINIA ST,NE,29557,5TH AVE AND VIRGINIA ST,SW,29549,1268915.58814417,227383.5485729,Y,N,N,Downtown Neighborhood,,86,95,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,6,ART,N,321.980790374829
1010,13328,68,10258,0110,102580110,WEST SEATTLE BR EB BETWEEN 1ST AV S OFF RP AND SPOKANE ST - W SEA B RP,WEST SEATTLE BR EB,WEST SEATTLE BR EB,1ST AV S OFF RP,SPOKANE ST - W SEA B RP,1,Principal Arterial, ,INSVC,0,35,W,Y,E,T,549,0,,,,,1ST AV S OFF RP AND WEST SEATTLE BR EB,W,32170,SPOKANE ST - W SEA B RP AND WEST SEATTLE BR EB,E,32174,1268747.088112,212104.50580525,N,N,Y,,Y,0,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,549.045384050762
1011,13346,68,10273,0290,102730290,WEST SEATTLE BR WB BETWEEN POINT A AND 35TH AVE SW,WEST SEATTLE BR WB,WEST SEATTLE BR WB,POINT A,35TH AVE SW,1,Principal Arterial, ,INSVC,0,40,SW,Y,SW,F,2359,0,,,,,WEST SEATTLE BR WB AND POINT A,SW,32114,FAUNTLEROY WAY SW AND WEST SEATTLE BR EB,NE,31898,1260239.73661529,210905.86087602,N,N,Y,,Y,0,0,2,MAJOR TRANSIT ROUTE,DISTRICT1, ,N,4,ART,N,2358.52195858505
1025,13467,68,10380,0950,103800950,WATERS AVE S BETWEEN S CARVER ST AND 59TH AVE S,WATERS AVE S,WATERS AVE S,S CARVER ST,59TH AVE S,3,Collector Arterial, ,INSVC,9400,25,SE,N, , ,166,35,AC/PCC,2017/10/24 00:00:00+00,,,WATERS AVE S AND S CARVER ST,SE,35471,59TH AVE S AND WATERS AVE S,NW,35401,1288006.92781171,192119.99640879,N,N,N,Neighborhood Corridor,,50,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,7,ART,N,165.925980220648
1029,13512,68,10420,0260,104200260,WESTERN AVE BETWEEN VINE ST AND CEDAR ST,WESTERN AVE,WESTERN AVE,VINE ST,CEDAR ST,1,Principal Arterial, ,INSVC,2600,25,NW,Y,NW,F,306,46,AC/PCC,2017/11/03 00:00:00+00,,,VINE ST AND WESTERN AVE,NW,29692,CEDAR ST AND WESTERN AVE,SE,29683,1266113.49047729,227973.5447335,N,N,Y,Downtown,Y,37,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,306.150968500726
1030,13515,68,10420,0290,104200290,WESTERN AVE BETWEEN BROAD ST AND EAGLE ST,WESTERN AVE,WESTERN AVE,BROAD ST,EAGLE ST,1,Principal Arterial, ,INSVC,2900,25,NW,N, , ,433,46,AC/PCC,2017/10/04 00:00:00+00,,,BROAD ST AND WESTERN AVE,NW,29678,EAGLE ST AND WESTERN AVE,SE,29663,1265381.89546855,228638.32412618,N,N,Y,Downtown,Y,62,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,433.375243805306
1031,13522,68,10425,0021,104250021,WESTERN AVE W BETWEEN ELLIOTT ER AVE W AND 3RD AVE W,WESTERN AVE W,WESTERN AVE W,ELLIOTT ER AVE W,3RD AVE W,1,Principal Arterial, ,INSVC,200,25,NW,N, , ,203,54,AC/PCC,2017/10/04 00:00:00+00,,,ELLIOTT ER AVE W AND WESTERN AVE W,NW,28668,3RD AVE W AND WESTERN AVE W,SE,28656,1263849.22564298,230029.0386236,N,N,Y,Urban Village Main,Y,62,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,203.42646847209
1032,13536,68,10440,0050,104400050,WESTLAKE AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,WESTLAKE AVE N,WESTLAKE AVE N,REPUBLICAN ST,MERCER SR ST,1,Principal Arterial, ,INSVC,500,25,N,N, , ,490,58,AC/PCC,2017/10/07 00:00:00+00,,,REPUBLICAN ST AND WESTLAKE AVE N,N,28772,MERCER SR ST AND WESTLAKE AVE N,S,28764,1269277.04299253,231202.10908881,Y,N,Y,Urban Village Main,,62,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,489.961355225416
1033,13547,68,10440,0250,104400250,WESTLAKE AVE N BETWEEN HALLADAY ST AND NEWELL ST,WESTLAKE AVE N,WESTLAKE AVE N,HALLADAY ST,NEWELL ST,1,Principal Arterial, ,INSVC,2500,25,NW,N, , ,716,46,AC/PCC,2017/10/28 00:00:00+00,PCC,2010/08/01 00:00:00+00,WESTLAKE AVE N AND HALLADAY ST,NW,27999,WESTLAKE AVE N AND NEWELL ST,SE,27998,1268026.81854326,238245.70116001,N,N,Y,Urban Center Connector,Y,70,83,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,0,ART,N,715.826998226539
1039,13607,68,10540,0500,105400500,WILSON AVE S BETWEEN 50TH AVE S AND S FARRAR ST,WILSON AVE S,WILSON AVE S,50TH AVE S,S FARRAR ST,2,Minor Arterial, ,INSVC,5000,25,S,N, , ,566,31,PCC,2017/10/24 00:00:00+00,AC/PCC,2017/10/24 00:00:00+00,50TH AVE S AND WILSON AVE S,S,33441,WILSON AVE S AND S FARRAR ST,N,33457,1285574.61958523,206241.10471125,Y,N,N,Neighborhood Corridor,,78,55,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,565.621302541246
1040,13615,68,10540,0560,105400560,WILSON AVE S BETWEEN S FINDLAY ST AND S ORCAS ST,WILSON AVE S,WILSON AVE S,S FINDLAY ST,S ORCAS ST,2,Minor Arterial, ,INSVC,5600,25,SE,N, , ,343,40,AC/PCC,2017/10/24 00:00:00+00,,,WILSON AVE S AND S FINDLAY ST,SE,33707,WILSON AVE S AND S ORCAS ST,NW,33713,1286577.33792225,204464.04173343,N,N,N,Neighborhood Corridor,,18,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,342.729773142888
1048,13697,68,10610,0630,106100630,WOODLAWN AVE N BETWEEN N 63RD N ST AND N 64TH ST,WOODLAWN AVE N,WOODLAWN AVE N,N 63RD N ST,N 64TH ST,3,Collector Arterial, ,INSVC,6300,25,NE,N, , ,355,24,PCC,2017/10/03 00:00:00+00,,,WOODLAWN AVE N AND N 63RD N ST,NE,25813,WOODLAWN AVE N AND N 64TH ST,SW,25811,1271051.89221035,249756.44741181,N,N,N,Neighborhood Corridor,,56,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,3,ART,N,355.320543467502
1049,13699,68,10610,0650,106100650,WOODLAWN AVE N BETWEEN N 65TH ST AND N 66TH ST,WOODLAWN AVE N,WOODLAWN AVE N,N 65TH ST,N 66TH ST,3,Collector Arterial, ,INSVC,6500,25,N,N, , ,468,26,PCC,2017/10/03 00:00:00+00,,,WOODLAWN AVE N AND N 65TH ST,N,24598,WOODLAWN AVE N AND N 66TH ST,S,24596,1271440.64837076,250394.12229246,N,N,N,Neighborhood Corridor,,72,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,2,ART,N,468.442121592978
1050,13710,68,10615,0700,106150700,WOODLAWN AVE NE BETWEEN NE RAVENNA WB BV AND NE 71ST ST,WOODLAWN AVE NE,WOODLAWN AVE NE,NE RAVENNA WB BV,NE 71ST ST,3,Collector Arterial, ,INSVC,7000,25,N,N, , ,290,36,AC/PCC,2017/10/03 00:00:00+00,,,WOODLAWN AVE NE AND NE RAVENNA WB BV,N,24611,WOODLAWN AVE NE AND NE 71ST ST,S,24582,1273061.37899642,251388.66322148,N,N,N,Urban Village Neighborhood,,38,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,2,ART,N,290.110492338251
1052,13728,68,10673,0220,106730220,W SEATTLE BR WB OFF RP BETWEEN W SEATTLE BR WB-CHELAN OFF RP AND DELRIDGE WAY SW,W SEATTLE BR WB-DELR RP,W SEATTLE BR WB OFF RP,W SEATTLE BR WB-CHELAN OFF RP,DELRIDGE WAY SW,1,Principal Arterial, ,INSVC,2200,25,SW,Y,SW,F,214,0,,,,,W SEATTLE BR WB-CHELAN OFF RP AND W SEATTLE BR WB OFF RP,SW,32028,DELRIDGE WAY SW AND W SEATTLE BR WB OFF RP,NE,32037,1263277.8870184,212086.94926123,N,N,N,,,0,0,3,MINOR TRANSIT ROUTE,DISTRICT1, ,N,0,ART,N,214.407803658888
1053,13738,68,10760,0190,107600190,YALE AVE BETWEEN STEWART ST AND DENNY WAY,YALE AVE,YALE AVE,STEWART ST,DENNY WAY,1,Principal Arterial, ,INSVC,1900,25,NW,N, , ,130,42,AC/PCC,2017/10/10 00:00:00+00,,,STEWART ST AND YALE AVE,NW,29173,DENNY WAY AND YALE AVE,SE,29169,1271024.02104233,229165.10671872,N,N,N,Downtown,,59,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,129.676886252988
1055,13757,68,10785,0001,107850001,YESLER WAY BETWEEN ALASKAN WAY AND ALASKAN E RDWY WAY,YESLER WAY,YESLER WAY,ALASKAN WAY,ALASKAN E RDWY WAY,2,Minor Arterial, ,INSVC,0,25,E,N, , ,135,42,AC/PCC,2017/10/10 00:00:00+00,,,ALASKAN WAY AND YESLER WAY,E,30360,ALASKAN E RDWY WAY AND YESLER WAY,W,30375,1269645.02328092,223111.26370452,Y,N,N,Downtown Neighborhood,,49,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,0,ART,N,135.265353679212
1056,13765,68,10785,0030,107850030,YESLER WAY BETWEEN 3RD AVE AND TERRACE ST,YESLER WAY,YESLER WAY,3RD AVE,TERRACE ST,2,Minor Arterial, ,INSVC,300,25,E,N, , ,307,22,AC/PCC,2017/11/02 00:00:00+00,,,3RD AVE AND YESLER WAY,E,30487,TERRACE ST AND YESLER WAY,W,38474,1271289.0465146,223077.20431249,N,N,N,Downtown Neighborhood,,74,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,306.847576070974
1065,13848,68,10860,0410,108600410,E BLAINE ST BETWEEN E MADISON ST AND 42ND AVE E,E BLAINE ST,E BLAINE ST,E MADISON ST,42ND AVE E,3,Collector Arterial, ,INSVC,4100,25,E,Y,E,F,332,28,PCC,2017/10/27 00:00:00+00,,,E BLAINE ST AND E MADISON ST,E,28490,42ND AVE E AND E BLAINE ST,W,28491,1283958.63743956,234819.19818051,N,N,N,Neighborhood Corridor,,77,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,2,ART,N,331.99842119566
1071,13897,68,10910,0270,109100270,E CHERRY ST BETWEEN 27TH E AVE AND TEMPLE PL,E CHERRY ST,E CHERRY ST,27TH E AVE,TEMPLE PL,2,Minor Arterial, ,INSVC,2700,25,E,N, , ,192,47,AC/PCC,2017/10/09 00:00:00+00,,,27TH AVE AND E CHERRY E ST,E,30073,TEMPLE PL AND E CHERRY ST,W,30072,1279341.68389884,225213.49532268,Y,N,N,Urban Village Neighborhood,,28,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,0,ART,N,192.051121589508
1080,13977,68,10965,0340,109650340,E DENNY WAY BETWEEN 34TH AVE AND 36TH AVE,E DENNY WAY,E DENNY WAY,34TH AVE,36TH AVE,3,Collector Arterial, ,INSVC,3400,25,E,N, , ,274,42,AC/PCC,2017/10/09 00:00:00+00,,,34TH AVE AND E DENNY WAY,E,29496,36TH AVE AND E DENNY WAY,W,29497,1281646.6695652,228951.7765425,Y,N,N,Neighborhood Corridor,,29,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,3,ART,N,273.610710785551
1105,14217,68,11190,0090,111900090,E JEFFERSON ST BETWEEN BROADWAY AND 10TH AVE,E JEFFERSON ST,E JEFFERSON ST,BROADWAY,10TH AVE,3,Collector Arterial, ,INSVC,900,25,E,N, , ,329,42,AC/PCC,2017/10/10 00:00:00+00,,,BROADWAY AND JEFFERSON ST,E,29812,10TH AVE AND E JEFFERSON ST,W,29811,1273678.83333305,224669.84911412,N,N,N,Urban Village Neighborhood,,54,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,8,ART,N,329.041908391628
1106,14228,68,11190,0200,111900200,E JEFFERSON ST BETWEEN 20TH AVE AND 21ST AVE,E JEFFERSON ST,E JEFFERSON ST,20TH AVE,21ST AVE,3,Collector Arterial, ,INSVC,2000,25,E,N, , ,321,42,AC/PCC,2017/10/10 00:00:00+00,,,20TH AVE AND E JEFFERSON ST,E,30190,21ST AVE AND E JEFFERSON ST,W,30189,1277230.44562468,224585.41743404,N,N,N,Urban Village Neighborhood,,52,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,6,ART,N,320.762032578331
1108,14248,68,11200,0140,112000140,E JOHN ST BETWEEN 14TH AVE E AND E JOHN SR ST,E JOHN ST,E JOHN ST,14TH AVE E,E JOHN SR ST,2,Minor Arterial, ,INSVC,1400,25,E,N, , ,200,38,AC/PCC,2017/10/09 00:00:00+00,PCC,2014/06/24 00:00:00+00,14TH AVE E AND E JOHN ST,E,29057,E JOHN ST AND E JOHN SR ST,W,29058,1275297.70335071,229654.50665522,N,N,N,Urban Village Neighborhood,,13,78,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,1,ART,N,200.490467637646
1109,14256,68,11200,0220,112000220,E JOHN ST BETWEEN 22ND AVE E AND 23RD AVE E,E JOHN ST,E JOHN ST,22ND AVE E,23RD AVE E,2,Minor Arterial, ,INSVC,2200,25,E,N, , ,276,40,AC/PCC,2017/10/09 00:00:00+00,PCC,1999/07/01 00:00:00+00,22ND AVE E AND E JOHN ST,E,29379,23RD AVE E AND E JOHN ST,W,29380,1277974.94264944,229694.82191926,N,N,N,Urban Village Neighborhood,,3,98,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,6,ART,N,276.218552177122
1119,14341,68,11275,0110,112750110,E MADISON ST BETWEEN 11TH AVE AND 12TH AVE,E MADISON ST,E MADISON ST,11TH AVE,12TH AVE,1,Principal Arterial, ,INSVC,1100,25,NE,N, , ,404,48,AC/PCC,2017/10/09 00:00:00+00,,,11TH AVE AND E MADISON ST,NE,29764,12TH AVE AND E MADISON ST,SW,29761,1274381.19314176,226981.34223649,N,N,Y,Urban Village Main,,82,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,2,ART,N,404.219202434451
1120,14357,68,11275,0250,112750250,E MADISON ST BETWEEN 25TH AVE E AND 26TH AVE E,E MADISON ST,E MADISON ST,25TH AVE E,26TH AVE E,2,Minor Arterial, ,INSVC,2500,25,NE,N, , ,529,46,PCC,2017/10/09 00:00:00+00,,,25TH AVE E AND E MADISON ST,NE,29275,26TH AVE E AND E MADISON ST,SW,29256,1278956.12844245,230143.92873572,N,N,N,Urban Center Connector,,70,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,13,ART,N,529.48682282344
1121,14368,68,11275,0340,112750340,E MADISON ST BETWEEN 34TH AVE E AND 36TH AVE E,E MADISON ST,E MADISON ST,34TH AVE E,36TH AVE E,2,Minor Arterial, ,INSVC,3400,25,NE,N, , ,473,75,AC/PCC,2017/10/28 00:00:00+00,PCC,2017/10/28 00:00:00+00,34TH AVE E AND E MADISON ST,NE,29427,36TH AVE E AND E MADISON ST,SW,29424,1281877.00985344,232962.72989062,N,N,N,Urban Center Connector,,51,75,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,5,ART,N,473.025100728302
1122,14374,68,11275,0381,112750381,E MADISON ST BETWEEN E GALER ST AND 39TH AVE E,E MADISON ST,E MADISON ST,E GALER ST,39TH AVE E,2,Minor Arterial, ,INSVC,3800,25,NE,N, , ,231,63,AC/PCC,2017/10/28 00:00:00+00,PCC,2017/10/09 00:00:00+00,E GALER ST AND E MADISON ST,NE,29410,39TH AVE E AND E MADISON ST,SW,28535,1283001.16742259,234046.00515571,N,N,N,Urban Center Connector,,63,62,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,8,ART,N,230.96820228274
1124,14393,68,11300,0420,113000420,EAST MARGINAL WAY S BETWEEN S IDAHO ST AND DIAGONAL AVE S,EAST MARGINAL WAY S,EAST MARGINAL WAY S,S IDAHO ST,DIAGONAL AVE S,1,Principal Arterial,WSDOT,INSVC,4200,40,S,N, , ,794,76,AC/PCC,2017/10/12 00:00:00+00,,,EAST MARGINAL WAY S AND S IDAHO ST,S,32189,DIAGONAL AVE S AND EAST MARGINAL WAY S,N,32192,1268599.21003184,209154.15591423,N,N,N,Industrial Access,Y,50,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,793.784226989145
1125,14405,68,11300,0598,113000598,EAST MARGINAL WAY S BETWEEN 1ST AV S BR SB AND 1ST AV S BR NB,EAST MARGINAL WAY S,EAST MARGINAL WAY S,1ST AV S BR SB,1ST AV S BR NB,1,Principal Arterial,WSDOT,INSVC,5900,40,S,N, , ,246,76,PCC,2017/10/12 00:00:00+00,,,1ST AV S BR SB AND EAST MARGINAL WAY S,S,33195,1ST AV S BR NB AND EAST MARGINAL WAY S,N,33194,1269830.1522411,203393.65530033,N,N,N,Industrial Access,Y,80,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,245.864448682689
1126,14418,68,11300,0750,113000750,EAST MARGINAL WAY S BETWEEN 14TH AVE S AND 16TH AVE S,EAST MARGINAL WAY S,EAST MARGINAL WAY S,14TH AVE S,16TH AVE S,1,Principal Arterial, ,INSVC,7500,30,SE,N, , ,542,67,AC/PCC,2017/10/12 00:00:00+00,,,14TH AVE S AND EAST MARGINAL WAY S,SE,34211,16TH AVE S AND EAST MARGINAL WAY S,NW,34391,1274674.34603806,198584.5589754,Y,N,Y,Industrial Access,Y,72,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,542.021462116583
1137,14518,68,11375,0262,113750262,EAST MONTLAKE PL E BETWEEN 22ND AVE E AND MONTLAKE BLVD E,EAST MONTLAKE PL E,EAST MONTLAKE PL E,22ND AVE E,MONTLAKE BLVD E,1,Principal Arterial, ,INSVC,2600,25,NW,N, , ,117,57,AC/PCC,2017/10/07 00:00:00+00,,,22ND AVE E AND EAST MONTLAKE PL E,NW,28392,MONTLAKE BLVD E AND EAST MONTLAKE PL E,SE,28391,1277916.48888938,238312.33597609,N,N,Y,Urban Center Connector,,29,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,2,ART,N,117.492065221441
1145,14585,68,11435,0155,114350155,E OLIVE WAY BETWEEN E DENNY WAY AND SUMMIT AVE E,E OLIVE WAY,E OLIVE WAY,E DENNY WAY,SUMMIT AVE E,1,Principal Arterial, ,INSVC,1500,25,NE,N, , ,171,42,PCC,2017/10/09 00:00:00+00,,,E DENNY WAY AND E OLIVE WAY,NE,29162,SUMMIT AVE E AND E OLIVE WAY,SW,29161,1272439.90494777,229248.05622281,N,N,Y,Urban Village Main,,84,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,5,ART,N,171.163267347756
