OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
8996,12389,68,09345,0510,093450510,RAINIER AVE S BETWEEN 39TH N AVE S AND 39TH S AVE S,RAINIER AVE S,RAINIER AVE S,39TH N AVE S,39TH S AVE S,1,Principal Arterial, ,INSVC,5100,25,SE,N, , ,93,51,AC/PCC,2017/10/11 00:00:00+00,,,39TH AVE S AND RAINIER N AVE S,SE,33591,39TH AVE S AND RAINIER S AVE S,NW,337795,1282388.40914996,206111.63136712,N,N,Y,Urban Village Main,,67,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,92.9143303323103
8997,12400,68,09345,0645,093450645,RAINIER AVE S BETWEEN S EDDY ST AND S MORGAN ST,RAINIER AVE S,RAINIER AVE S,S EDDY ST,S MORGAN ST,1,Principal Arterial, ,INSVC,6400,25,SE,N, , ,470,52,AC/PCC,2017/10/11 00:00:00+00,,,RAINIER AVE S AND S EDDY ST,SE,34395,RAINIER AVE S AND S MORGAN ST,NW,34407,1284513.04128014,202070.19014697,N,N,Y,Urban Center Connector,,65,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,3,ART,N,469.69022205546
8998,12436,68,09345,0990,093450990,RAINIER AVE S BETWEEN S COOPER ST AND 68TH AVE S,RAINIER AVE S,RAINIER AVE S,S COOPER ST,68TH AVE S,1,Principal Arterial, ,INSVC,9900,25,SE,N, , ,807,48,AC/PCC,2017/10/11 00:00:00+00,,,RAINIER AVE S AND S COOPER ST,SE,38195,68TH AVE S AND RAINIER AVE S,NW,38204,1290481.61939825,190145.71199076,Y,N,Y,Urban Center Connector,,75,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,807.367773744184
9003,12534,68,09425,0976,094250976,RENTON AVE S BETWEEN 54TH AVE S AND 55TH AVE S,RENTON AVE S,RENTON AVE S,54TH AVE S,55TH AVE S,2,Minor Arterial, ,INSVC,9700,25,SE,N, , ,243,42,AC/PCC,2017/10/24 00:00:00+00,,,54TH AVE S AND RENTON AVE S,SE,38293,55TH AVE S AND RENTON AVE S,NW,38295,1286621.51046629,190731.15480736,N,N,N,Neighborhood Corridor,,93,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,7,ART,N,242.770266374758
9004,12541,68,09425,1030,094251030,RENTON AVE S BETWEEN S PRENTICE N ST AND S PRENTICE S ST,RENTON AVE S,RENTON AVE S,S PRENTICE N ST,S PRENTICE S ST,2,Minor Arterial, ,INSVC,10300,25,SE,N, , ,82,42,AC/PCC,2017/10/24 00:00:00+00,,,RENTON AVE S AND S PRENTICE N ST,SE,38285,RENTON AVE S AND S PRENTICE S ST,NW,38234,1288671.39117239,188663.88517325,N,N,N,Neighborhood Corridor,,95,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,82.1422481291786
9006,12607,68,09485,0580,094850580,ROOSEVELT WAY NE BETWEEN NE 58TH ST AND NE 59TH ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 58TH ST,NE 59TH ST,1,Principal Arterial, ,INSVC,5800,25,N,Y,S,T,265,40,AC/PCC,2017/10/27 00:00:00+00,,,ROOSEVELT WAY NE AND NE 58TH ST,N,25736,ROOSEVELT WAY NE AND NE 59TH ST,S,25729,1274806.0188702,248327.63230634,Y,N,Y,Urban Center Connector,,95,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,3,ART,N,264.646431176294
9007,12626,68,09485,0750,094850750,ROOSEVELT WAY NE BETWEEN NE 75TH ST AND NE 78TH ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 75TH ST,NE 78TH ST,1,Principal Arterial, ,INSVC,7500,25,N,N, , ,796,36,AC/PCC,2017/09/24 00:00:00+00,,,ROOSEVELT WAY NE AND NE 75TH ST,N,24431,ROOSEVELT WAY NE AND NE 78TH ST,S,24407,1274862.30399026,253100.80011924,Y,N,Y,Urban Center Connector,,75,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,4,ART,N,795.668690213032
9008,12643,68,09485,0950,094850950,ROOSEVELT WAY NE BETWEEN NE 95TH ST AND NE 96TH ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 95TH ST,NE 96TH ST,1,Principal Arterial, ,INSVC,9500,25,N,N, , ,331,44,AC/PCC,2017/09/24 00:00:00+00,,,ROOSEVELT WAY NE AND NE 95TH ST,N,37512,ROOSEVELT WAY NE AND NE 96TH ST,S,37504,1274938.89618233,258173.21068442,Y,N,Y,Urban Center Connector,,83,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,3,ART,N,331.328611390426
9009,12654,68,09485,1120,094851120,ROOSEVELT WAY NE BETWEEN PINEHURST N WAY NE AND NE 113TH S ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,PINEHURST N WAY NE,NE 113TH S ST,3,Collector Arterial, ,INSVC,11200,25,NW,N, , ,126,36,AC/PCC,2017/09/24 00:00:00+00,,,PINEHURST WAY NE AND ROOSEVELT N WAY NE,NW,36538,ROOSEVELT WAY NE AND NE 113TH S ST,SE,36536,1274980.49720638,262669.50867303,N,N,N,Urban Village Neighborhood,,36,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,5,ART,N,125.804442437346
9010,12679,68,09520,0009,095200009,ROY ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,ROY ST,ROY ST,QUEEN ANNE AVE N,1ST AVE N,1,Principal Arterial, ,INSVC,0,25,E,N, , ,322,43,AC/PCC,2017/10/04 00:00:00+00,,,QUEEN ANNE AVE N AND ROY ST,E,28618,1ST AVE N AND ROY ST,W,28882,1264946.8168121,231860.99689747,Y,N,Y,Urban Village Main,,78,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,322.003193438796
9012,12708,68,09555,0500,095550500,SAND POINT WAY NE BETWEEN NE 50TH ST AND NE 52ND ST,SAND POINT WAY NE,SAND POINT WAY NE,NE 50TH ST,NE 52ND ST,1,Principal Arterial,WSDOT,INSVC,5000,30,NE,N, , ,855,46,PCC,2017/09/26 00:00:00+00,,,SAND POINT WAY NE AND NE 50TH ST,NE,26239,SAND POINT WAY NE AND NE 52ND ST,SW,26227,1283520.02387112,246240.6801762,N,N,N,Urban Center Connector,,77,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,4,ART,N,854.945146924528
9013,12733,68,09555,0920,095550920,SAND POINT WAY NE BETWEEN NE 93RD ST AND MATTHEWS N AVE NE,SAND POINT WAY NE,SAND POINT WAY NE,NE 93RD ST,MATTHEWS N AVE NE,2,Minor Arterial, ,INSVC,9200,25,NW,N, , ,108,33,AC/AC,2017/09/26 00:00:00+00,,,SAND POINT WAY NE AND NE 93RD ST,NW,37818,MATTHEWS AVE NE AND SAND POINT N WAY NE,SE,37817,1285021.42969666,257221.64741945,N,N,N,Urban Center Connector,,83,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,0,ART,N,107.638881074194
9014,12763,68,09595,0740,095950740,SEAVIEW AVE NW BETWEEN NW 75TH ST AND SEAVIEW PL NW,SEAVIEW AVE NW,SEAVIEW AVE NW,NW 75TH ST,SEAVIEW PL NW,2,Minor Arterial, ,INSVC,7400,25,N,N, , ,1904,56,PCC,2017/10/01 00:00:00+00,,,SEAVIEW AVE NW AND NW 75TH ST,N,23820,SEAVIEW AVE NW AND SEAVIEW PL NW,S,23808,1253869.09782475,253921.74117607,Y,N,N,Neighborhood Corridor,,86,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,0,ART,N,1903.51916763184
9016,12799,68,09630,0650,096300650,SEWARD PARK AVE S BETWEEN S MORGAN ST AND 55TH S AVE S,SEWARD PARK AVE S,SEWARD PARK AVE S,S MORGAN ST,55TH S AVE S,2,Minor Arterial, ,INSVC,6500,25,S,N, , ,662,30,AC/PCC,2017/10/24 00:00:00+00,,,SEWARD PARK S AVE S AND S MORGAN ST,S,34609,55TH AVE S AND SEWARD PARK S AVE S,N,34620,1286997.03187469,201490.44518638,Y,N,N,Neighborhood Corridor,,35,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,1,ART,N,661.748834286364
9023,12960,68,09810,0395,098100395,STONE WAY N BETWEEN BRIDGE WAY N AND N 40TH ST,STONE WAY N,STONE WAY N,BRIDGE WAY N,N 40TH ST,2,Minor Arterial, ,INSVC,3900,25,N,N, , ,263,54,AC/PCC,2017/10/03 00:00:00+00,,,BRIDGE WAY N AND STONE WAY N,N,26852,STONE WAY N AND N 40TH ST,S,26848,1268509.60107175,242578.81514846,Y,N,N,Urban Village Neighborhood,,67,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,5,ART,N,262.923346169501
9024,12971,68,09810,0470,098100470,STONE WAY N BETWEEN N 47TH ST AND N 48TH ST,STONE WAY N,STONE WAY N,N 47TH ST,N 48TH ST,2,Minor Arterial, ,INSVC,4700,25,NE,N, , ,280,54,AC/PCC,2018/04/30 00:00:00+00,,,STONE WAY N AND N 47TH ST,NE,25562,STONE WAY N AND N 48TH ST,SW,25543,1268832.41681609,245563.90263951,N,N,N,Urban Village Neighborhood,,54,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,3,ART,N,280.147167702036
9026,13018,68,09915,0770,099150770,SUNNYSIDE AVE N BETWEEN N 77TH ST AND N 80TH E ST,SUNNYSIDE AVE N,SUNNYSIDE AVE N,N 77TH ST,N 80TH E ST,0,Not Designated, ,INSVC,7700,20,N,N, , ,658,25,PCC,2013/08/28 00:00:00+00,,,SUNNYSIDE AVE N AND N 77TH ST,N,24542,SUNNYSIDE AVE N AND N 80TH E ST,S,24535,1271951.59256327,253798.58923994,N,N,N,Neighborhood Yield Street,,55,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,4,NON-ART,N,658.320709450785
